objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648705135116366,231.784631195044,0.552323488959352,18.25001,18.58003,19.03522,19.36075,19.58067,752,301,5,589,4517361204276994048,STAR,-3.920557E-05,4012,55327,912
1237648705135182209,231.827079412166,0.571396469898749,19.25225,17.71097,16.80569,16.33258,15.93953,752,301,5,590,352555682735613952,GALAXY,0.1159241,313,51673,542
1237648705132495223,225.801425381668,0.468648028510293,18.43803,17.08073,16.50616,16.17469,15.96114,752,301,5,549,349158472002070528,GALAXY,0.04064452,310,51990,471
1237648705134985355,231.399286950951,0.474536693255861,18.34495,17.17632,16.72369,16.56407,16.47259,752,301,5,587,408800105844467712,STAR,1.178914E-05,363,51989,358
1237651191894048960,128.76730739875,50.7184676018996,19.32235,17.48727,16.48561,15.98477,15.65534,1331,301,5,175,4162628515965935616,GALAXY,0.0978652,3697,55290,642
1237651191895162999,131.558230480266,52.6733526696813,18.96961,18.68641,18.60263,18.46361,18.23236,1331,301,5,192,5806502313959858176,QSO,2.108796,5157,55923,860
1237651191894114340,128.862738744593,50.9488514994992,17.73737,16.475,16.17224,16.03964,15.99716,1331,301,5,176,8221388307616997376,STAR,6.835664E-05,7302,57012,244
1237651191894114405,128.853141810186,50.890682437558,19.52252,19.46045,19.23219,19.22567,19.16062,1331,301,5,176,501152758439634944,QSO,1.247904,445,51873,463
1237651191894179888,129.159370989723,50.9296343413862,17.57843,15.9837,15.19778,14.7729,14.46161,1331,301,5,177,501158255997773824,GALAXY,0.0446375,445,51873,483
1237651191894179903,129.032084967288,51.0416774673556,18.77904,18.67314,18.62831,18.37827,18.25107,1331,301,5,177,501155507218704384,QSO,1.960077,445,51873,473
1237651191894179924,129.114823272039,51.0117487349685,18.55651,17.54857,17.23404,17.10847,17.11701,1331,301,5,177,8230594788002340864,STAR,-0.0007543151,7310,56693,969
1237651191894180000,129.043385137625,51.1002609859848,19.58732,18.63601,18.32635,18.02723,17.90553,1331,301,5,177,8221388032739090432,GALAXY,0.03774324,7302,57012,243
1237651191894180003,129.176992002501,51.0281804891493,19.37757,17.33734,16.31994,15.84221,15.50364,1331,301,5,177,501161279654750208,GALAXY,0.09753089,445,51873,494
